以下是根据您提出的优化需求编写的全场景功能测试用例，覆盖【工具来源】下拉框和【文件上传能力增强】两大模块。

---

### 一、工具来源下拉框功能用例

**关联页面：** 添加文件页面  
**对齐页面：** URL 链接添加页面  
**字段名：** 工具来源  
**选项：** 自研、第三方  
**交互规则：** 必填，未选择时阻断提交并提示“请选择工具来源”

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-FOLDER-001 | 按钮选择整个文件夹上传 | 准备一个包含多层级文件的文件夹，例如：<br>folder/<br>├── a.txt<br>├── sub/<br>│   ├── b.py<br>│   └── c.sh<br>└── readme.md | 1. 点击上传按钮<br>2. 在弹出的文件选择框中，选择一个文件夹（确认选择文件夹按钮） | 文件夹内所有文件及子目录结构被完整上传，保留相对路径。文件列表或树形展示中可以看到“folder/a.txt”、“folder/sub/b.py”等路径 |
| TC-FOLDER-002 | 拖拽文件夹到上传区域 | 打开资源管理器，定位到测试文件夹 | 用鼠标拖拽整个文件夹到上传区域 | 同上，识别为文件夹上传，所有包含的文件按目录结构上传 |
| TC-FOLDER-003 | 文件夹内包含空子目录 | 文件夹结构：<br>folder/<br>├── empty/ (空目录)<br>└── a.txt | 上传该文件夹 | 空目录的处理根据通用组件策略：如果组件保留空目录记录，则显示；若不保留，只上传a.txt且不报错。结果应与通用组件一致 |
| TC-FOLDER-004 | 文件夹内包含多种文件类型 | 文件夹包含.py、.exe、.zip、无后缀文件等 | 上传文件夹 | 所有类型文件均上传成功，无格式拦截 |
| TC-FOLDER-005 | 超大文件夹上传 | 文件夹包含数百个文件，总大小接近限制 | 上传该文件夹 | 所有文件排队上传，进度展示正常；如有总大小限制，给出明确提示 |
| TC-FOLDER-006 | 文件夹上传进度展示 | 准备一个包含多个文件的文件夹 | 上传并观察进度条 | 显示整体上传进度（或各文件独立进度），完成后状态更新，交互与多文件上传一致 |
| TC-FOLDER-007 | 文件夹上传部分失败重试 | 模拟其中某个文件上传失败 | 上传后查看结果 | 失败文件单独标记，点击重试仅重试失败文件，成功文件保留；重试后目录结构依然正确 |
| TC-FOLDER-008 | 取消文件夹上传 | 上传过程中点击取消 | 点击“取消”按钮 | 所有正在上传和排队的文件停止，已上传部分被清理，无残留文件 |
| TC-FOLDER-009 | 文件夹上传防重名 | 已存在与上传文件夹同名的根目录 | 再次上传同结构文件夹 | 按通用组件策略处理（合并、覆盖提示或自动重命名），需与单文件行为呼应 |

#### 2.5 混合上传（文件+文件夹）

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-MIX-001 | 同时选择文件和文件夹上传 | 打开文件选择框，先选几个独立文件，再选一个文件夹 | 点击上传，在弹出框中间隔选择文件和文件夹（Webkitdirectory属性可能一次只能选文件夹或文件，需按组件实际交互：若不支持同时选择，可测试拖拽混合） | 如果点击上传不支持混合选择，则进行拖拽混合测试 |
| TC-MIX-002 | 拖拽同时包含文件和文件夹 | 资源管理器中选中一个文件夹和另外几个独立文件，一起拖拽 | 拖拽到上传区 | 所有文件和文件夹均被正确识别：文件夹内的文件按目录结构上传，独立文件直接上传，列表混合展示 |
| TC-MIX-003 | 多次添加混合上传 | 先上传一个文件夹，上传过程中继续选择几个文件添加 | 依次操作 | 队列中既有文件夹任务又有单文件任务，所有文件按添加顺序上传，最终全部成功且结构正确 |
| TC-MIX-004 | 混合上传取消后数据清理 | 混合上传中取消 | 取消后检查列表 | 所有未完成的任务取消，已完成的任务保留，界面状态干净 |

#### 2.6 拖拽上传交互细节

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-DRAG-001 | 拖拽文件时上传区域高亮 | 准备文件 | 从桌面拖拽一个文件移动到上传区域上方（未松开） | 上传区域出现明显的拖拽悬停样式（如边框高亮、背景变色），提示用户可释放 |
| TC-DRAG-002 | 拖拽离开区域取消高亮 | 拖拽文件悬停后移出 | 将文件拖出上传区域 | 高亮样式消失 |
| TC-DRAG-003 | 拖拽无效内容（如网页图片、文本） | 从浏览器中拖拽一个图片或选中文本 | 拖动到上传区域 | 不应触发上传行为，无任何反应或提示不支持，不报错 |
| TC-DRAG-004 | 页面其他区域拖拽不触发上传 | 拖拽文件到页面非上传区域 | 在表单其他位置释放 | 浏览器默认行为（如打开文件），不触发上传组件 |
| TC-DRAG-005 | 拖拽多个文件 | 同时选中5个文件拖拽 | 拖拽到上传区 | 识别为多文件上传，文件列表正确 |
| TC-DRAG-006 | 拖拽文件夹 | 拖拽文件夹 | 拖拽到上传区 | 识别为文件夹上传，保留结构 |

#### 2.7 上传进度与状态

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-PROG-001 | 单个文件上传进度条 | 上传一个文件 | 观察上传过程中的进度条 | 进度条从0%平滑到100%，百分比或大小信息动态更新，完成后变为成功状态 |
| TC-PROG-002 | 多文件总体进度 | 多文件上传且组件有总进度 | 上传10个文件 | 总进度条反映整体完成情况，各文件有独立进度指示 |
| TC-PROG-003 | 文件夹上传进度 | 上传包含多文件的文件夹 | 观察进度 | 能够展示正在上传的文件名或路径，进度更新正确 |
| TC-PROG-004 | 上传速度显示（如有） | 上传较大文件 | 查看进度区域 | 如果通用组件有，则显示上传速度，数值合理 |
| TC-PROG-005 | 上传完成状态 | 文件上传完成 | 查看完成后的列表项 | 显示文件名、大小，可能有成功图标，操作按钮变为“删除”或“重新上传” |
| TC-PROG-006 | 上传失败状态及重新上传 | 模拟上传失败 | 观察失败条目 | 显示失败标记和错误原因，提供“重试”按钮，点击后重新上传该文件，进度重置 |

#### 2.8 错误处理与异常

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-ERR-001 | 上传文件大小超过限制 | 系统有最大单文件限制，如100MB | 上传大于限制的文件 | 前端立即提示文件过大，阻止上传或在上传开始后后端返回413，前端显示明确的大小超限提示，可关闭 |
| TC-ERR-002 | 上传总大小超过单次限制 | 系统有单次总大小限制 | 选择总大小超限的多个文件 | 如果前端能提前计算，则提示超限；否则上传部分后报错，给出明确信息 |
| TC-ERR-003 | 文件数量上限 | 若系统限制单次最多文件数，如200个 | 选择201个文件 | 提示超出数量限制，无法添加 |
| TC-ERR-004 | 上传同名文件处理 | 已存在a.txt，再上传a.txt | 上传同名文件 | 按通用组件策略：提示覆盖/自动重命名/跳过。需验证结果与组件一致 |
| TC-ERR-005 | 上传时服务器返回500错误 | 模拟服务器异常 | 正常上传文件 | 前端捕获错误，提示“上传失败，请稍后重试”，支持重试 |
| TC-ERR-006 | 网络超时 | 设置上传接口超时极短 | 上传文件 | 提示网络超时，上传失败，可重试 |
| TC-ERR-007 | 上传中断网恢复 | 上传中拔网线再插回 | 断网后上传失败，网络恢复后点击重试 | 重试成功，文件正常上传 |
| TC-ERR-008 | 选择文件后立即取消选择（ESC） | 弹出文件选择框时 | 按ESC关闭选择框 | 不上传任何文件，页面状态不变 |
| TC-ERR-009 | 后端保留的安全校验不拦截正常文件 | 上传看似正常的文件（例如内容为普通文本但命名为.exe） | 上传该文件 | 后端不因扩展名或内容误判而拦截，除非命中真正的安全规则（如病毒扫描，但那不属于本次优化范畴）。正常业务文件应畅通 |

#### 2.9 与现有通用上传组件一致性

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-UPLIB-001 | 上传组件UI样式一致 | 系统中其他使用通用上传组件的页面 | 对比添加文件页面的上传区域与标准组件样式 | 按钮、拖拽区、图标、字体、颜色等完全一致 |
| TC-UPLIB-002 | 错误提示文案风格一致 | 触发各种错误 | 对比标准组件错误提示 | 文案风格、标点、提示位置（如tooltip/气泡）一致 |
| TC-UPLIB-003 | 文件列表展示一致 | 上传后 | 查看文件列表项：缩略图/文件图标、文件名、大小、操作按钮布局 | 与通用组件展示方式一致，操作按钮功能相同 |
| TC-UPLIB-004 | 支持的操作选项一致 | 通用组件支持预览/下载/删除等 | 上传文件后悬停或点击更多操作 | 操作项和顺序应与标准组件保持一致（如本次关注下载/使用按钮） |
| TC-UPLIB-005 | 浏览器兼容行为一致 | Chrome、Edge、Firefox等主流浏览器 | 在各浏览器中测试上传交互 | 文件选择、拖拽、文件夹上传等功能表现一致，降级方案（如不支持webkitdirectory）有明确提示或回退为文件选择 |
| TC-UPLIB-006 | 移动端响应式表现（若支持） | 手机或平板浏览器访问页面 | 测试上传功能 | 点击上传应能调起系统文件选择，支持拍照/相册/文件管理选择文件；拖拽不可用时，点击功能正常 |

#### 2.10 表单提交与文件上传结合

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-INTG-001 | 同时填写工具来源和上传文件后提交 | 选择“自研”，上传多个文件和文件夹混合，填写其他字段 | 点击提交 | 1. 表单校验通过<br>2. 请求中包含工具来源参数和已上传文件的标识（如文件ID/路径列表）<br>3. 后端正确创建记录，文件关联正常 |
| TC-INTG-002 | 未完成上传时提交 | 文件正在上传中 | 在文件上传进度未达100%时点击提交按钮 | 根据通用行为：要么禁用提交按钮直至所有文件上传完成，要么给出“文件上传中，请等待”提示。需与通用组件逻辑一致 |
| TC-INTG-003 | 上传失败后提交 | 有文件上传失败 | 不重试失败文件，直接填写其他项后提交 | 若系统要求文件必须全部上传成功才可提交，应在提交时校验，提示“请先处理上传失败的文件”或自动移除失败文件 |
| TC-INTG-004 | 已上传文件能在详情中正确展示目录结构 | 提交包含文件夹的记录 | 进入该文件记录的详情页 | 能够以树形或路径形式展示上传时的文件夹结构，文件可下载且路径正确 |
| TC-INTG-005 | 重复提交校验 | 快速双击提交按钮 | 在提交过程中再次点击 | 前端防抖或按钮置灰，避免重复请求 |

---

以上用例基于需求描述进行了全面扩展，覆盖了【工具来源】下拉框的展示、交互、校验、参数对齐，以及文件上传的格式放开、文件夹上传、混合上传、拖拽、进度、异常、一致性和集成场景。如果还有更细致的交互细节需要补充（如上传限速、断点续传），可根据现有通用上传组件的实际能力进行补充测试。
